,product_name,Accuracy_Score,uses_cov
0,P1000,0.7670714263906887,no
1,P1001,0.410768839878605,no
2,P1002,0.8811690568080353,yes
3,P1003,0.5058256642693651,no
4,P1004,0.6344376827715855,no
5,P1005,0.6761887763933098,no
6,P1006,0.3106602891938629,no
7,P1007,0.4367027751875805,no
8,P1008,0.7517710065966525,no
9,P1009,0.24820456624278187,no
10,P1010,0.8209562586058967,no
11,P1011,0.7619978187459245,no
12,P1012,0.5257240302569436,no
13,P1013,0.7542501608104037,yes
14,P1014,0.5573169179563735,no
15,P1015,0.7891393529221541,no
16,P1016,0.44958053225179173,no
17,P1017,0.7147258128152718,no
18,P1018,0.6855051651644861,no
19,P1019,0.6510478905853293,no
20,P1020,0.5561163714744332,yes
21,P1021,0.7271268194256545,no
22,P1022,0.7632193109726557,no
23,P1023,0.50925218302944,no
24,P1024,0.4320953411972309,no
25,P1025,0.6227679525132096,no
26,P1026,0.7022485412111537,no
27,P1027,0.30266795571995886,no
28,P1028,0.8440583837351809,yes
29,P1029,0.9143642682058833,yes
30,P1030,0.8060384174130962,no
31,P1031,0.5922246801232238,no
32,P1032,0.7651919838802632,no
33,P1034,0.6962999395461895,no
34,P1036,0.6674499313747673,no
35,P1037,0.6956276811840036,yes
36,P1038,0.09432163407021532,yes
37,P1039,1.2191405329708971e-08,no
38,P1040,0.6261845250527197,no
39,P1042,0.22339811289475908,no
40,P1045,0.6258008731054142,no
41,P1046,2.3263542203721954e-08,no
42,P1047,0.29273694472702605,no
43,P1050,0.36804515795490866,no
44,P1054,0.000205012213047584,no
45,P1055,0.5205546271748775,no
46,P1063,0.0,no
47,P1104,0.026239708720393273,no
48,P1105,2.4999996295349547e-08,no
49,P1106,0.46034633850122,no
50,P1107,3.333326665799774e-07,no
51,P1108,0.6492642236945425,yes
52,P1109,0.3113576870444764,no
53,P1110,0.6047377182379636,no
54,P1111,0.5568898896000426,no
55,P1112,5.405404834846195e-08,no
56,P1114,0.4934415131236204,no
57,P1119,0.29248349299169196,no
58,P1120,0.0,no
59,P1124,0.35249007856652226,no
60,P1127,0.0,no
61,P1128,0.03266798647892599,no
62,P1130,0.3549093667605172,no
63,P1131,0.5799745080627182,no
64,P1132,0.5175354645616936,no
65,P1134,0.8097112068808525,yes
66,P1135,0.7688664204470769,no
67,P1136,0.7820258313143955,yes
68,P1137,0.7684039822377617,no
69,P1139,0.8650170092540022,yes
70,P1140,0.1028155686183525,no
71,P1141,0.6002059287813779,no
72,P1142,0.7195050207334039,no
73,P1143,0.30283722543393976,no
74,P1144,0.8141495481576069,no
75,P1145,0.8496018346263569,no
76,P1147,0.6804436024405395,yes
77,P1148,0.3047555477410605,no
78,P1149,0.5477040479095352,no
79,P1150,0.5336830764418665,no
80,P1151,0.6392746237458078,yes
81,P1152,0.725103244775996,yes
82,P1153,0.5753731365449336,no
83,P1154,0.7536626519362769,no
84,P1155,0.6775766412269755,no
85,P1156,0.7617989152160495,no
86,P1157,0.5627370420527813,no
87,P1158,0.5497755981328685,no
88,P1159,0.0,no
89,P1160,0.6719956864908614,no
90,P1161,1.9047617816347895e-08,no
91,P1162,0.0,no
92,P1163,0.15106441367831225,no
93,P1164,0.011553960140377906,no
94,P1166,0.6002355213838951,no
95,P1167,0.6789086187541704,no
96,P1170,0.9020462237487058,no
97,P1172,0.8241169962315023,no
98,P1174,0.8473161722129041,no
99,P1177,0.1338682268344532,no
100,P1179,0.836582509422056,no
101,P1180,0.6368070672889885,no
102,P1182,0.6603318260526119,no
103,P1183,0.7992602527408628,no
104,P1185,0.40565716339710156,no
105,P1186,0.446656237118745,no
106,P1188,0.39251192351917785,no
107,P1191,0.26695896075594405,no
108,P1192,0.5906485432457119,yes
109,P1202,0.20455773607634842,no
110,P1203,0.5558100147939506,no
111,P1204,0.45874726693658674,no
112,P1205,0.2733028661300061,no
113,P1206,0.23339769168982516,no
114,P1208,0.44502152983172827,no
115,P1209,0.48423361071343984,no
116,P1210,0.41455519147442277,no
117,P1211,0.2923493405459445,no
118,P1212,3.6363634436931136e-08,no
119,P1213,0.45322449625026706,no
120,P1214,0.4624404924439639,no
121,P1215,0.2236325445467896,no
122,P1216,0.5842605596796979,no
123,P1217,0.4796590528562644,no
124,P1218,0.7678337040040096,no
125,P1219,0.487268263369357,no
126,P1220,0.6071689833450543,no
127,P1221,0.8118303297841113,yes
128,P1222,0.7982415959433417,yes
129,P1224,0.8688601084677142,no
130,P1225,0.5222882383037852,no
131,P1226,3.174603069311388e-08,no
132,P1227,0.4974917016816476,no
133,P1228,0.6936337089370685,no
134,P1229,6.40597364043316e-09,no
135,P1230,0.6728525882453948,no
136,P1231,0.6870851657532839,no
137,P1233,0.47223917022574746,no
138,P1234,0.4179211585436349,no
139,P1235,0.5677023103015139,no
140,P1236,0.5674476305477573,yes
141,P1237,0.4638793154018793,no
142,P1239,0.7495787575877999,yes
143,P1240,0.3250150306701379,no
144,P1241,0.7654626203085317,yes
145,P1242,0.317471473386997,no
146,P1243,0.6927448251926617,no
147,P1244,0.7156230155499315,no
148,P1245,0.7071242970745397,no
149,P1246,0.1814516110537484,no
150,P1247,0.5358026262949178,yes
151,P1248,0.7694441942197299,no
152,P1249,0.5932054627793353,no
153,P1250,0.5921238227422818,no
154,P1252,0.7240961831685988,no
155,P1253,0.29520419425173217,no
156,P1254,0.3516382647316625,no
157,P1255,0.5385606362386741,no
158,P1256,0.6390898737143557,no
159,P1257,0.4303073715508351,no
160,P1258,0.7153037634122454,no
161,P1259,0.008589792740418933,no
162,P1260,0.7386288855896981,no
163,P1261,0.017476812473070424,yes
164,P1262,0.6928733596947514,no
165,P1263,0.7134561961783703,no
166,P1264,0.07733420591745921,no
167,P1265,8.695647657486205e-08,no
168,P1266,0.05029916288928149,no
169,P1267,0.030742847802857298,no
170,P1269,0.0,no
171,P1272,0.298786316744869,no
172,P1274,0.6909214294609076,yes
173,P1276,0.6484354615767524,no
174,P1277,0.8070581461196354,yes
175,P1279,0.8528581915372702,yes
176,P1281,1.1111103703775882e-07,no
177,P1282,0.7185301480225862,yes
178,P1283,0.48884572320557007,no
179,P1284,0.7373891277413049,no
180,P1285,0.7769381020585046,yes
181,P1286,0.8120867906399338,no
182,P1287,0.1708006667362162,no
183,P1288,0.6906010498460429,no
184,P1289,0.8101438870148897,no
185,P1290,0.6187358246461914,no
186,P1291,0.6983413478334325,yes
187,P1292,0.7651306070836305,no
188,P1293,0.6757864043629616,no
189,P1294,0.3027884666596148,no
190,P1295,0.8463499954575474,no
191,P1296,0.5604853549084072,yes
192,P1297,0.5479580157728177,yes
193,P1299,0.8580846826690569,no
194,P1300,0.7815818046457823,no
195,P1301,0.40105817674247035,no
196,P1302,0.667151153712273,no
197,P1303,0.6494220681972533,no
198,P1304,0.8177334464506691,no
199,P1306,0.7494006694269456,no
200,P1307,0.6776168260618162,no
201,P1308,0.7678635268206262,no
202,P1309,0.5724840816002703,no
203,P1310,0.656571841658268,no
204,P1313,0.3160807699236453,no
205,P1314,0.0,no
206,P1315,0.09041417038255484,no
207,P1316,0.3767352299399983,no
208,P1317,0.5631684273542741,no
209,P1319,0.37899953063839653,no
210,P1320,0.41732310781487636,no
211,P1321,0.570930349500853,no
212,P1322,0.7230379277247314,no
213,P1323,0.0,no
214,P1324,6.666639998931245e-07,no
215,P1325,0.6798989721546691,no
216,P1326,0.5593608638992698,no
217,P1327,0.5530618445580877,no
218,P1329,0.774516558611273,no
219,P1331,0.0,no
220,P1337,0.0,no
221,P1338,0.45831720561264067,no
222,P1339,0.0,no
223,P1343,0.6101708988233447,no
224,P1344,0.293687472814267,no
225,P1346,0.7882500572277996,no
226,P1348,0.0,no
227,P1351,0.8041835335899742,no
228,P1352,0.0,no
229,P1353,0.2027313868814663,no
230,P1355,0.907091867685364,no
231,P1357,0.8459461058194336,yes
232,P1359,0.42461990700566965,no
233,P1362,0.8780735288604448,no
234,P1363,0.17896346572422683,no
235,P1365,0.848872468311421,no
236,P1366,1.6666665003661763e-07,no
237,P1367,0.6849586810772919,no
238,P1369,0.22097377029560428,no
239,P1372,0.5129999646209592,no
240,P1373,0.5852728527815909,no
241,P1374,0.0,no
242,P1376,0.8336271853998704,no
243,P1378,0.0,no
244,P1380,0.5403018604972232,no
245,P1381,0.0,no
246,P1382,0.0,no
247,P1383,0.0,no
248,P1385,1.9656018923619456e-08,no
249,P1386,0.6628000255872091,no
250,P1387,0.5351861622205061,no
251,P1388,0.5070441459143809,no
252,P1389,0.4702037170303226,no
253,P1390,0.26377207166636707,no
254,P1391,0.6135531713980212,no
255,P1392,0.24964813102927186,no
256,P1393,0.0,no
257,P1394,0.7427961680732968,no
258,P1395,0.7442292582732579,no
259,P1397,0.38976675615087486,no
260,P1430,0.22607746749909363,no
261,P1431,0.081989247311828,no
