year_month,Open,High,Low,Close,Adj Close,Volume,year_month
2018-01-01,22.950000762939453,23.200000762939453,22.510000228881836,23.09000015258789,21.72039794921875,3593808,2018-01-01
2018-02-01,23.530000686645508,23.559999465942383,22.969999313354492,23.1299991607666,21.75802230834961,6401285,2018-02-01
2018-03-01,22.309999465942383,22.360000610351562,21.6299991607666,21.799999237060547,20.739418029785156,7422287,2018-03-01
2018-04-01,21.290000915527344,21.559999465942383,21.09000015258789,21.290000915527344,20.254230499267578,5713129,2018-04-01
2018-05-01,21.329999923706055,22.360000610351562,21.309999465942383,22.229999542236328,21.148494720458984,9157163,2018-05-01
2018-06-01,23.549999237060547,23.770000457763672,23.34000015258789,23.610000610351562,22.461360931396484,3922932,2018-06-01
2018-07-01,21.299999237060547,21.65999984741211,21.1200008392334,21.309999465942383,20.273258209228516,7287916,2018-07-01
2018-08-01,23.329999923706055,23.34000015258789,21.81999969482422,21.959999084472656,20.891632080078125,9369036,2018-08-01
2018-09-01,21.84000015258789,21.950000762939453,21.709999084472656,21.90999984741211,20.844064712524414,1924085,2018-09-01
2018-10-01,19.594999313354492,20.139999389648438,19.584999084472656,19.989999771118164,19.017475128173828,4700125,2018-10-01
2018-11-01,17.78499984741211,18.420000076293945,17.71500015258789,18.329999923706055,17.438234329223633,9081213,2018-11-01
2018-12-01,20.25,20.25,19.200000762939453,19.200000762939453,18.265907287597656,12649523,2018-12-01
2019-01-01,17.344999313354492,17.485000610351562,16.94499969482422,17.389999389648438,16.54396629333496,4348505,2019-01-01
2019-02-01,19.43000030517578,19.559999465942383,19.290000915527344,19.549999237060547,18.5988826751709,3700839,2019-02-01
2019-03-01,19.485000610351562,19.864999771118164,19.46500015258789,19.65999984741211,18.964038848876953,3543527,2019-03-01
2019-04-01,18.0,18.663999557495117,17.996000289916992,18.506000518798828,17.85089111328125,10690521,2019-04-01
2019-05-01,21.030000686645508,21.170000076293945,20.8700008392334,21.014999389648438,20.27107048034668,3594783,2019-05-01
2019-06-01,15.399999618530273,15.583999633789062,14.444000244140625,14.789999961853027,14.266435623168945,21601581,2019-06-01
2019-07-01,16.600000381469727,16.79800033569336,16.007999420166016,16.200000762939453,15.626523971557617,14265103,2019-07-01
2019-08-01,17.381999969482422,17.52400016784668,17.110000610351562,17.420000076293945,16.803333282470703,7260793,2019-08-01
2019-09-01,15.793999671936035,15.842000007629395,15.522000312805176,15.593999862670898,15.041973114013672,2524211,2019-09-01
2019-10-01,16.667999267578125,16.878000259399414,16.27199935913086,16.360000610351562,15.780858993530273,5941355,2019-10-01
2019-11-01,17.384000778198242,17.88599967956543,17.238000869750977,17.79599952697754,17.16602325439453,5773953,2019-11-01
2019-12-01,19.43000030517578,19.579999923706055,18.983999252319336,19.06999969482422,18.394922256469727,6296908,2019-12-01
2020-01-01,20.204999923706055,20.889999389648438,20.184999465942383,20.684999465942383,19.95275115966797,4204646,2020-01-01
2020-02-01,19.6299991607666,19.780000686645508,19.381999969482422,19.511999130249023,18.82127571105957,7225330,2020-02-01
2020-03-01,19.420000076293945,19.493999481201172,17.663999557495117,18.615999221801758,18.182973861694336,18152307,2020-03-01
2020-04-01,12.960000038146973,13.170000076293945,12.727999687194824,12.87399959564209,12.574539184570312,8990940,2020-04-01
2020-05-01,16.118000030517578,16.270000457763672,15.663999557495117,15.815999984741211,15.448105812072754,12470229,2020-05-01
2020-06-01,19.68000030517578,20.110000610351562,19.450000762939453,19.658000946044922,19.20073890686035,12043156,2020-06-01
2020-07-01,20.625,20.7450008392334,20.325000762939453,20.530000686645508,20.05245590209961,4575089,2020-07-01
2020-08-01,21.389999389648438,21.78499984741211,21.190000534057617,21.65999984741211,21.156169891357422,6691103,2020-08-01
2020-09-01,23.5,23.700000762939453,23.045000076293945,23.5,22.953371047973633,3743074,2020-09-01
2020-10-01,24.799999237060547,26.075000762939453,24.594999313354492,25.94499969482422,25.34149742126465,10132720,2020-10-01
2020-11-01,24.03499984741211,24.709999084472656,23.954999923706055,24.454999923706055,23.88615608215332,4367259,2020-11-01
2020-12-01,29.450000762939453,29.600000381469727,28.850000381469727,29.440000534057617,28.755199432373047,5061165,2020-12-01
2021-01-01,32.0,32.599998474121094,31.844999313354492,32.060001373291016,31.314258575439453,8182916,2021-01-01
2021-02-01,32.83000183105469,33.8650016784668,32.83000183105469,33.61000061035156,32.82820510864258,7049115,2021-02-01
2021-03-01,36.86000061035156,36.959999084472656,35.244998931884766,35.73500061035156,35.12236022949219,5712079,2021-03-01
2021-04-01,36.59000015258789,37.025001525878906,36.42499923706055,36.599998474121094,35.97252655029297,4704718,2021-04-01
2021-05-01,33.665000915527344,34.310001373291016,33.560001373291016,33.720001220703125,33.141902923583984,3754503,2021-05-01
2021-06-01,33.41999816894531,33.76499938964844,33.29999923706055,33.439998626708984,32.866703033447266,3700812,2021-06-01
2021-07-01,34.099998474121094,34.22999954223633,32.86000061035156,33.16999816894531,32.6013298034668,4839448,2021-07-01
2021-08-01,32.72999954223633,33.474998474121094,32.529998779296875,33.40999984741211,32.83721923828125,4778021,2021-08-01
2021-09-01,36.41999816894531,36.80500030517578,36.025001525878906,36.51499938964844,35.88898468017578,3510833,2021-09-01
2021-10-01,34.98500061035156,35.45000076293945,34.595001220703125,34.900001525878906,34.301673889160156,4289817,2021-10-01
2021-11-01,40.619998931884766,40.85499954223633,39.935001373291016,40.709999084472656,40.01206588745117,3327980,2021-11-01
2021-12-01,40.724998474121094,42.22999954223633,40.130001068115234,42.09000015258789,41.368408203125,4324908,2021-12-01
2022-01-01,40.849998474121094,41.084999084472656,40.41999816894531,40.900001525878906,40.19881057739258,2694878,2022-01-01
2022-02-01,36.85499954223633,37.07500076293945,36.040000915527344,36.3849983215332,35.76121139526367,4784963,2022-02-01
2022-03-01,30.479999542236328,30.565000534057617,29.200000762939453,29.46500015258789,29.20374298095703,6574439,2022-03-01
2022-04-01,31.014999389648438,31.2450008392334,30.1299991607666,30.719999313354492,30.447612762451172,3951571,2022-04-01
2022-05-01,27.290000915527344,27.329999923706055,26.3799991607666,26.760000228881836,26.52272605895996,4458181,2022-05-01
2022-06-01,29.0049991607666,29.350000381469727,28.829999923706055,28.899999618530273,28.64375114440918,3039483,2022-06-01
2022-07-01,22.350000381469727,22.815000534057617,21.940000534057617,22.290000915527344,22.092361450195312,5940382,2022-07-01
2022-08-01,26.40999984741211,26.93000030517578,26.299999237060547,26.725000381469727,26.488037109375,3881328,2022-08-01
2022-09-01,23.950000762939453,24.125,23.600000381469727,23.760000228881836,23.549325942993164,4114920,2022-09-01
2022-10-01,22.334999084472656,23.139999389648438,22.079999923706055,23.09000015258789,22.88526725769043,2994447,2022-10-01
2022-11-01,24.899999618530273,25.344999313354492,24.639999389648438,25.075000762939453,24.8526668548584,3006328,2022-11-01
2022-12-01,32.875,33.650001525878906,32.005001068115234,32.32500076293945,32.03838348388672,5052979,2022-12-01
2023-01-01,28.635000228881836,28.985000610351562,28.604999542236328,28.700000762939453,28.445526123046875,1321427,2023-01-01
